id,name_ru,name_en,short_ru,short_en
9087,Бастион Лока,Bastion of Lok,,
9088,Зловещий Особняк,Sinestral Manor,,
9979,Логово Сараваша,Saravash's Ascent,,
9089,Убежище Культистов,Cultists' Refuge,,
9071,Гробница Некроманта,Necromancer Tomb,,
9072,Золотой Лабиринт,Golden Labyrinth,,
9093,Убежище Акаши,Akasha's Hideout,,
9094,Небесный сад Салерона,Saleron's Sky Garden,,
9076,Лабиринт Ужаса,Labyrinth of Terror,,
9073,Эбеновая Башня,Ebon Tower,,
9075,Гнездо Келсаика,Kelsaik's Nest,,
9025,Храм Балдера,Balder's Temple,,
9026,Аргонские Залы,Argon Corpus,,
9727,Обитель Манайи,Manaya's Core,,
9053,Ущелье Кеззела (7 игроков),Kezzel's Gorge (5-Person),УК,KG
9809,Мясницкие Катакомбы,Macellarius Catacombs,,
9710,Разрушенный алтарь Лакана,Broken Prison,РАЛ,BP
9981,Разрушенное Святилище Велики,Velik's Sanctuary (Hard),СВХ,VSH
9780,Вход в катакомбы Велики,Velik's Hold (5-Person),КВН,VH
9781,Святилище Велики,Velik's Sanctuary,СВН,VS
9735,Ангар RK-9,RK-9 Kennel,РКН,RK9
9935,Ангар совершенного RK-9,RK-9 Kennel (Hard),РКХ,RKH
9739,Лагерь повстанцев,Red Refuge,ЛПН,RR
9939,Секретный лагерь повстанцев,Red Refuge (Hard),ЛПХ,RRH
9920,Омут Бездушного Антароса,Antaroth's Abyss (Hard),ОАХ,AAH
9982,Заброшенная мастерская Леандра,Grotto of Lost Souls (Hard),МЛХ,GLSH
9044,Святилище Бахаара,Bahaar's Sanctum,СБ,Baha
3201,Гнездо сверкающей Паркин,Gossamer Vault (Hard),ГПХ,GVH
3023,Секретное подземелье крепости Берарк,Akalath Quarantine,КБ,AQ
3026,Логово Келсаика,Corrupted Skynest,ЛКН,CS
3202,Командный центр (сложно),Draakon Arena (Hard),КЦХ,DAH
3102,Командный центр,Draakon Arena,КЦН,DA
3126,Логово Бессмертного Келсаика,Corrupted Skynest (Hard) Entrance,ЛКХ,CSH
3027,[Бессмертный Воин] Арена безумия,Forbidden Arena [Hagufna],АБ,FA
9754,Глубинный Храм,Bathysmal Rise,ГХН,BR
9756,Хроноплоскость,Timescape,ХПН,TS
9056,Хроноплоскость (сложно),Timescape (Hard),ХПХ,TSH
9916,"Крейсер ""Стремление"" (Сложно)",Sky Cruiser Endeavor (Hard),КСХ,SCH
9760,Корабль Келивана,Kalivan's Dreadnaught,ККН,KD
9029,Сокровищница Капримы,Vault of Kaprima,СК,VK
9794,Лаборатория Сайрекса,Thaumetal Refinery,ЛСН,TR
9770,Руины Абнукты,Ruinous Manor,РАН,RM
9769,Замок Лилит,Lilith's Keep,ЗЛН,LK
9777,Каналы (3 игрока),Channelworks (3-Person),Каналы,CW
9055,Алчное Ущелье (3 игрока),Ravenous Gorge (3-Person),АУ,RG
9994,Лаборатория Альфа-сайрекса,Thaumetal Refinery (Hard),ЛАС,TRH
9759,Остров Мертвых (сложно),Forsaken Island (Hard),ОМХ,FIH
3030,Старая резиденция,Commander’s Residence,СР,CR
9057,Акероново пекло (сложно),Akeron's Inferno (Hard),АПХ,AIH
9067,Лаборатория Берна (сложно),Demokron Factory (Hard),ЛБХ,DFH
9969,Замок Кошмарной Лилит,Lilith's Keep (Hard),ЗКЛ,LKH
9970,Руины Кошмарной Абнукты,Ruinous Manor (Hard),РАХ,RMH
9066,Рулетка Демороса,Demon's Wheel,РД,DW
9070,Замок Парадоксов,Manglemire,ЗП,MM
9983,Крепость Темного Тенебриса,Dark Reach Citadel (Hard),КТТ,DRCH
9782,Мастерская Леандра,Grotto of Lost Souls,МЛН,GLS
3101,Гнездо Паркин,Gossamer Vault,ГПН,GV
9027,Обитель Манайи (сложно),Manaya's Core (Hard),Манайа,MCH
9766,Погибший Флот,Shattered Fleet,ПФ,SF
9999,Грабители подземелий,Blast from the Past,,
3034,Ангар обезумевшего RK-9,Rampaging RK-9 Kennel,РКО,RRK
3103,[Этерния] Арена безумия,Forbidden Arena [Undying Warlord],Этерния,FAUW
